ticker,excluded,exclusion_reason,missing_fields,outlier_fields,negative_equity,zero_or_negative_revenue_proxy
SHRIRAMFIN.NS,False,,['ev_to_ebitda'],[],False,False
SIEMENS.NS,False,,['return_on_equity'],[],False,False
SKFINDIA.NS,False,,[],[],False,False
SOBHA.NS,False,,[],[],False,False
SRF.NS,False,,[],[],False,False
SUNDRMFAST.NS,False,,[],[],False,False
SUNPHARMA.NS,False,,[],[],False,False
SUPREMEIND.NS,False,,[],[],False,False
TATACHEM.NS,True,missing critical fields: ['trailing_pe'],['trailing_pe'],[],False,False
TATACONSUM.NS,False,,[],[],False,False
TATAELXSI.NS,False,,['return_on_equity'],[],False,False
TATAPOWER.NS,False,,[],[],False,False
TATASTEEL.NS,False,,[],[],False,False
TCS.NS,True,missing critical fields: ['market_cap'],['market_cap'],[],False,False
TECHM.NS,False,,['return_on_equity'],[],False,False
THERMAX.NS,False,,[],[],False,False
TIMKEN.NS,False,,[],[],False,False
TITAN.NS,False,,[],[],False,False
TMCV.NS,False,,[],[],False,False
TMPV.NS,True,missing critical fields: ['trailing_pe'],['trailing_pe'],[],False,False
TORNTPHARM.NS,False,,[],[],False,False
TORNTPOWER.NS,False,,[],[],False,False
TRENT.NS,False,,[],[],False,False
TVSMOTOR.NS,True,missing critical fields: ['market_cap'],['market_cap'],[],False,False
UCOBANK.NS,False,,"['ev_to_ebitda', 'debt_to_equity']",[],False,False
ULTRACEMCO.NS,False,,[],[],False,False
UNIONBANK.NS,False,,"['ev_to_ebitda', 'debt_to_equity', 'revenue_growth', 'total_debt']",[],False,False
UNITDSPR.NS,False,,[],[],False,False
UNOMINDA.NS,False,,[],[],False,False
UPL.NS,False,,[],[],False,False
VBL.NS,False,,['return_on_equity'],[],False,False
VEDL.NS,False,,[],[],False,False
VOLTAS.NS,False,,[],[],False,False
WELCORP.NS,False,,[],[],False,False
WHIRLPOOL.NS,False,,[],[],False,False
WIPRO.NS,False,,[],[],False,False
ZEEL.NS,False,,[],[],False,False
