rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
28,BAJAJ-AUTO.NS,auto,2026-07-16T05:42:16.555979+00:00,2893395001344,10361.5,26.551088,20.105,0.28046,56.352,0.37,0.16886,1.5550691581863303,226649604096.0,388319900000.0,True,,0.56352,2,0.6764705882352942,4,0.5294117647058822,0.9411764705882353,0.23529411764705888,0.9411764705882353,0.7058823529411764,0.3529411764705882,0.9411764705882353,0.9411764705882353,0.23529411764705888,0.9411764705882353
29,ABBOTINDIA.NS,pharma_healthcare,2026-07-16T05:42:40.895012+00:00,588711919616,27705.0,37.87423,29.872,0.34460998,3.602,0.065,0.22399001,1.4513561462782167,1719900032.0,47741900000.0,True,,0.0360199999999999,2,0.675,4,0.5,0.9722222222222222,0.7777777777777778,0.3888888888888889,0.6666666666666667,0.33333333333333337,1.0,0.9444444444444444,0.7777777777777778,0.3888888888888889
30,POLYCAB.NS,capital_goods,2026-07-16T05:43:43.538817+00:00,1405875257344,9336.5,53.831295,33.586,0.24580999,2.558,0.269,0.09251001,2.3541099294370955,3101910016.0,120085760000.0,True,,0.02558,3,0.6741176470588235,4,0.6176470588235294,0.7274509803921569,0.4117647058823529,0.9411764705882353,0.5294117647058824,0.7058823529411764,0.8666666666666667,0.5882352941176471,0.4117647058823529,0.9411764705882353
31,CUMMINSIND.NS,capital_goods,2026-07-16T05:43:41.277840+00:00,1548577800192,5586.5,65.60775,54.31,0.29455,0.431,0.219,0.19449,1.40997102119606,365100000.0,84751600000.0,True,,0.00431,4,0.6705882352941176,4,0.2647058823529412,0.9117647058823529,0.7647058823529411,0.8235294117647058,0.3529411764705882,0.17647058823529416,1.0,0.8235294117647058,0.7647058823529411,0.8235294117647058
32,JUBLFOOD.NS,consumer_durables_retail,2026-07-16T05:44:13.706488+00:00,283260452864,430.7,75.6942,14.84,0.16893,2.655,0.203,0.04504,4.150136010941955,146060000.0,22920950000.0,True,,0.0265499999999999,4,0.670054945054945,4,0.5714285714285714,0.5192307692307692,0.7857142857142857,0.9285714285714286,0.2857142857142857,0.8571428571428572,0.5384615384615384,0.5,0.7857142857142857,0.9285714285714286
33,INDUSTOWER.NS,telecom_media,2026-07-16T05:44:26.268589+00:00,1088500137984,412.75,15.185799,8.031,0.19806999,53.289,0.048,0.21989,0.8195890590633008,211268993024.0,396456000000.0,True,,0.53289,1,0.67,4,0.6,0.9,0.5,0.6,0.6,0.6,1.0,0.8,0.5,0.6
34,IOC.NS,energy_power,2026-07-16T05:43:25.201107+00:00,2009028624384,142.27,4.54682,4.145,0.20969999,58.446,0.067,0.05367,3.573360899846049,1318223872000.0,2195175500000.0,True,,0.58446,2,0.6681818181818181,4,0.8636363636363635,0.5454545454545454,0.5454545454545454,0.6818181818181818,0.9090909090909091,0.8181818181818181,0.9090909090909091,0.18181818181818182,0.5454545454545454,0.6818181818181818
35,IDEA.NS,telecom_media,2026-07-16T05:44:25.090889+00:00,1504884817920,13.89,4.3817034,17.691,,,0.032,0.77143997,-1.2525588679456343,1925280038912.0,-357580000000.0,True,,,2,0.6625,3,0.5,1.0,,0.4,0.8,0.19999999999999996,,1.0,,0.4
36,CHAMBLFERT.NS,chemicals,2026-07-16T05:44:02.180714+00:00,181495480320,453.0,9.296122,6.774,0.20451,10.274,0.137,0.09394,1.997863171902248,10675000320.0,104079500000.0,True,,0.10274,2,0.6590909090909092,4,0.7272727272727273,0.6818181818181818,0.5454545454545454,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.9090909090909091,0.45454545454545453,0.5454545454545454,0.6363636363636364
37,IOB.NS,banking,2026-07-16T05:41:44.054519+00:00,650295050240,33.77,12.461255,,0.15654999,,0.077,0.36955002,0.4979208850448562,516025712640.0,369906675000.0,True,,,5,0.6563642178362573,3,0.5263157894736843,0.8536184210526316,,0.5555555555555556,0.5263157894736843,,0.8125,0.8947368421052632,,0.5555555555555556
