rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
180,APLAPOLLO.NS,metals_mining,2026-08-16T03:49:27.009275+00:00,578445770752,2083.3,47.1655,31.139,,9.396,0.085,0.052259997,4.226091422119765,4976500224.0,52965300000.0,True,,0.09396,13,0.29333333333333333,4,0.0,0.26666666666666666,0.7333333333333334,0.3333333333333333,0.0,0.0,,0.26666666666666666,0.7333333333333334,0.3333333333333333
181,BRITANNIA.NS,fmcg,2026-08-16T03:49:11.205474+00:00,1338745946112,5558.0,51.282524,36.779,,26.875,0.082,0.13376,3.6929381031457575,13802800128.0,51065600000.0,True,,0.26875,11,0.2833333333333333,4,0.33333333333333337,0.3333333333333333,0.08333333333333337,0.3333333333333333,0.33333333333333337,0.33333333333333337,,0.3333333333333333,0.08333333333333337,0.3333333333333333
182,MOTHERSON.NS,auto,2026-08-16T03:48:44.104179+00:00,1772406177792,168.3,40.456734,16.547,,43.908,0.166,0.033570003,3.050857011781472,191696994304.0,409796000000.0,True,,0.43908,14,0.28095238095238095,4,0.5142857142857142,0.06666666666666667,0.33333333333333337,0.2,0.4285714285714286,0.6,,0.06666666666666667,0.33333333333333337,0.2
183,TATASTEEL.NS,metals_mining,2026-08-16T03:49:19.552642+00:00,2289036951552,183.5,20.757917,9.21,,89.017,0.143,0.04602,2.254074259317896,923818983424.0,1021676500000.0,True,,0.8901699999999999,14,0.2742857142857143,4,0.380952380952381,0.13333333333333333,0.06666666666666665,0.5333333333333333,0.33333333333333337,0.4285714285714286,,0.13333333333333333,0.06666666666666665,0.5333333333333333
184,TATACONSUM.NS,fmcg,2026-08-16T03:49:15.911703+00:00,1068370362368,1079.5,65.34503,38.946,,12.159,0.119,0.078379996,0.925786906547002,28195100672.0,217875300000.0,True,,0.12159,12,0.25833333333333336,4,0.16666666666666669,0.08333333333333333,0.33333333333333337,0.5833333333333334,0.08333333333333337,0.25,,0.08333333333333333,0.33333333333333337,0.5833333333333334
185,SAIL.NS,metals_mining,2026-08-16T03:49:25.111308+00:00,700165324800,169.51,16.361969,7.509,,52.899,0.013,0.03844,1.8359576564868243,319277105152.0,603558800000.0,True,,0.52899,15,0.25571428571428567,4,0.519047619047619,0.06666666666666667,0.19999999999999996,0.2,0.4666666666666667,0.5714285714285714,,0.06666666666666667,0.19999999999999996,0.2
186,APOLLOHOSP.NS,pharma_healthcare,2026-08-16T03:49:00.875075+00:00,1282631008256,8920.5,61.351448,36.651,,85.146,0.206,0.07906,2.627672703874432,84929003520.0,94801000000.0,True,,0.85146,17,0.23161764705882354,4,0.24264705882352944,0.058823529411764705,0.05882352941176472,0.6470588235294118,0.23529411764705888,0.25,,0.058823529411764705,0.05882352941176472,0.6470588235294118
187,VOLTAS.NS,consumer_durables_retail,2026-08-16T03:50:17.323658+00:00,436933296128,1320.5,97.09559,60.983,0.057189997,15.51,0.025,0.02639,2.2149505740871143,9924800512.0,63762100000.0,True,,0.1551,13,0.2096153846153846,4,0.0,0.28846153846153844,0.46153846153846156,0.15384615384615385,0.0,0.0,0.5,0.07692307692307693,0.46153846153846156,0.15384615384615385
188,TATAPOWER.NS,energy_power,2026-08-16T03:49:40.147921+00:00,1220779442176,382.05,31.652859,14.801,,168.051,0.056,0.060890004,1.5468184855225389,799033196544.0,394672100000.0,True,,1.68051,9,0.20555555555555555,4,0.16666666666666669,0.2222222222222222,0.11111111111111116,0.3333333333333333,0.11111111111111116,0.2222222222222222,,0.2222222222222222,0.11111111111111116,0.3333333333333333
189,THERMAX.NS,capital_goods,2026-08-16T03:49:50.562549+00:00,455652605952,4044.9,76.92848,51.958,,42.166,0.071,0.05474,1.9175869419113976,23525300224.0,55499700000.0,True,,0.42166,18,0.14591503267973857,4,0.1715686274509804,0.16666666666666666,0.05555555555555558,0.16666666666666666,0.17647058823529416,0.16666666666666663,,0.16666666666666666,0.05555555555555558,0.16666666666666666
190,BHARATFORG.NS,auto,2026-08-16T03:48:43.256433+00:00,987253047296,2065.0,138.87021,36.393,,76.475,0.187,0.040260002,1.6935362177238868,73086148608.0,95798400000.0,True,,0.7647499999999999,15,0.13,4,0.033333333333333326,0.13333333333333333,0.06666666666666665,0.3333333333333333,0.0,0.06666666666666665,,0.13333333333333333,0.06666666666666665,0.3333333333333333
191,INDUSINDBK.NS,banking,2026-08-16T03:48:04.324159+00:00,795346665472,1020.8,60.224186,,,,0.01,0.076469995,0.3822382163905047,427891884032.0,657396276000.0,True,,,19,0.07529239766081872,3,0.0,0.05263157894736842,,0.2222222222222222,0.0,,,0.05263157894736842,,0.2222222222222222
