acquisition_likelihood_rank,ticker,sector,acquisition_likelihood_sector_rank,acquisition_likelihood_score,likelihood_components_used,valuation_bucket_score,turnaround_potential_score,leverage_bucket_score,quality_bucket_score,composite_score,rank
18,UCOBANK.NS,banking,4,0.6647527910685805,2,0.5263157894736843,0.8229665071770336,,0.1770334928229665,0.5137559808612441,86
19,BAJAJFINSV.NS,nbfc_financial_services,1,0.6631410256410257,3,0.3269230769230769,0.9166666666666667,0.8461538461538461,0.0833333333333333,0.3692307692307692,150
20,CHAMBLFERT.NS,chemicals,2,0.6545454545454545,3,0.8181818181818181,0.5454545454545455,0.5454545454545454,0.4545454545454545,0.5272727272727272,81
21,TECHM.NS,it,2,0.6474747474747475,3,0.5050505050505051,0.8181818181818182,0.6363636363636364,0.1818181818181818,0.4787878787878789,105
22,SUPREMEIND.NS,capital_goods,2,0.6441176470588235,3,0.7941176470588235,0.47058823529411764,0.6470588235294117,0.5294117647058824,0.5617647058823528,66
23,COALINDIA.NS,metals_mining,1,0.6433333333333333,3,0.9,0.33333333333333337,0.6666666666666667,0.6666666666666666,0.7633333333333333,9
24,KAJARIACER.NS,consumer_durables_retail,2,0.6423076923076924,3,0.9230769230769232,0.23076923076923073,0.7692307692307692,0.7692307692307693,0.8307692307692307,2
25,LT.NS,capital_goods,3,0.6411764705882352,3,0.8823529411764706,0.8235294117647058,0.0,0.1764705882352941,0.3764705882352941,147
26,GICRE.NS,insurance,1,0.638888888888889,2,0.8333333333333334,0.41666666666666663,,0.5833333333333334,0.6145833333333334,48
27,GAIL.NS,energy_power,3,0.6388888888888888,3,0.5555555555555556,0.5555555555555556,0.8888888888888888,0.4444444444444444,0.6333333333333333,39
28,GHCL.NS,chemicals,3,0.6318181818181818,3,0.9090909090909092,0.18181818181818177,0.8181818181818181,0.8181818181818182,0.7454545454545455,13
29,SAIL.NS,metals_mining,2,0.6166666666666666,3,0.6000000000000001,0.9333333333333333,0.1999999999999999,0.0666666666666666,0.28,179
30,MRF.NS,auto,2,0.6132936507936507,3,0.8214285714285714,0.4563492063492063,0.5,0.5436507936507937,0.5523809523809523,72
31,EXIDEIND.NS,auto,3,0.6071428571428571,3,0.4285714285714285,0.7857142857142858,0.6428571428571428,0.2142857142857142,0.4214285714285714,130
32,EMAMILTD.NS,fmcg,1,0.5929166666666666,3,0.8333333333333334,0.32499999999999996,0.5833333333333333,0.675,0.6191666666666668,45
33,SBICARD.NS,nbfc_financial_services,2,0.5878205128205128,3,0.3076923076923077,0.8333333333333334,0.6923076923076923,0.1666666666666666,0.3730769230769231,148
34,UPL.NS,chemicals,4,0.5821969696969698,3,0.6363636363636364,0.8712121212121213,0.0909090909090909,0.1287878787878787,0.3931818181818182,140
35,HAL.NS,capital_goods,4,0.5800653594771242,3,0.7647058823529411,0.11111111111111116,0.9411764705882352,0.8888888888888888,0.707843137254902,23
36,NATIONALUM.NS,metals_mining,3,0.5766666666666668,3,0.8,0.06666666666666676,0.9333333333333332,0.9333333333333332,0.8533333333333333,1
37,MOTHERSON.NS,auto,4,0.5751984126984127,3,0.4642857142857142,0.9087301587301588,0.2857142857142857,0.0912698412698412,0.2952380952380952,175
38,DIXON.NS,consumer_durables_retail,3,0.573076923076923,3,0.5,0.8461538461538463,0.3076923076923077,0.1538461538461538,0.4423076923076923,119
39,NBCC.NS,infra_logistics_defense,2,0.5728030303030303,3,0.5181818181818182,0.4015151515151515,0.9,0.5984848484848485,0.5695454545454546,60
40,GLAND.NS,pharma_healthcare,5,0.5680882352941177,3,0.4705882352941176,0.4970588235294118,0.8235294117647058,0.5029411764705882,0.5861764705882353,55
41,MARUTI.NS,auto,5,0.5678571428571428,3,0.4642857142857142,0.4285714285714286,0.9285714285714286,0.5714285714285714,0.6678571428571428,27
42,HCLTECH.NS,it,3,0.5642045454545455,3,0.7272727272727273,0.26136363636363635,0.7272727272727273,0.7386363636363636,0.6397727272727273,35
43,BAJAJHLDNG.NS,nbfc_financial_services,3,0.5638461538461539,3,0.3076923076923077,0.6,0.9230769230769232,0.4,0.5046153846153847,90
44,COROMANDEL.NS,chemicals,5,0.5636363636363637,3,0.4090909090909091,0.8181818181818182,0.4545454545454546,0.1818181818181818,0.3954545454545455,138
45,DABUR.NS,fmcg,2,0.5625,3,0.7083333333333334,0.5,0.4166666666666666,0.5,0.5458333333333333,74
46,SBIN.NS,banking,5,0.560127591706539,2,0.631578947368421,0.47846889952153115,,0.5215311004784688,0.5018607123870281,91
47,PNB.NS,banking,6,0.5585326953748005,2,0.8421052631578947,0.23444976076555024,,0.7655502392344498,0.7139819245082402,22
48,IPCALAB.NS,pharma_healthcare,6,0.5580882352941177,3,0.588235294117647,0.5441176470588236,0.5294117647058824,0.4558823529411764,0.4661764705882352,110
49,ITC.NS,fmcg,3,0.5541666666666667,3,0.9166666666666666,0.0,0.75,1.0,0.7416666666666667,15
50,PGHH.NS,consumer_durables_retail,4,0.5461538461538461,3,0.7692307692307692,0.07692307692307676,0.8461538461538461,0.9230769230769232,0.6923076923076923,25
51,IRCON.NS,infra_logistics_defense,3,0.5448484848484849,3,0.8090909090909091,0.5606060606060608,0.0999999999999999,0.4393939393939393,0.4309090909090909,126
52,COLPAL.NS,fmcg,4,0.5375,3,0.625,0.16666666666666663,0.9166666666666666,0.8333333333333334,0.7541666666666667,11
53,HEROMOTOCO.NS,auto,6,0.5357142857142857,3,0.7857142857142858,0.0714285714285714,0.7857142857142857,0.9285714285714286,0.8142857142857144,4
54,RELAXO.NS,consumer_durables_retail,5,0.5266826923076923,3,0.5384615384615384,0.5048076923076923,0.5384615384615384,0.4951923076923077,0.4947115384615385,96
55,OBEROIRLTY.NS,realty,1,0.525,3,0.75,0.16666666666666663,0.6666666666666667,0.8333333333333334,0.7416666666666667,14
56,DALBHARAT.NS,cement,3,0.5249999999999999,3,0.5,0.75,0.25,0.25,0.3999999999999999,136
57,ZEEL.NS,telecom_media,1,0.5241666666666667,3,0.2,0.7333333333333334,0.75,0.2666666666666666,0.33,165
58,CONCOR.NS,infra_logistics_defense,4,0.5227272727272727,3,0.6136363636363636,0.36363636363636365,0.6,0.6363636363636364,0.5677272727272727,62
59,WIPRO.NS,it,4,0.5226641414141414,3,0.898989898989899,0.46590909090909083,0.0,0.5340909090909092,0.5208333333333334,85
60,SHRIRAMFIN.NS,nbfc_financial_services,4,0.5198397435897436,3,0.4615384615384615,0.4083333333333333,0.7692307692307692,0.5916666666666667,0.6390384615384616,36
61,JSL.NS,metals_mining,4,0.5183333333333333,3,0.5666666666666667,0.5,0.4666666666666667,0.5,0.4933333333333333,98
62,VBL.NS,fmcg,5,0.5154166666666666,3,0.6666666666666666,0.5916666666666667,0.1666666666666666,0.4083333333333333,0.5225,84
63,NMDC.NS,metals_mining,5,0.5133333333333334,3,0.7333333333333334,0.19999999999999996,0.6,0.8,0.7666666666666666,8
64,HAVELLS.NS,capital_goods,5,0.511764705882353,3,0.4411764705882353,0.7058823529411765,0.3529411764705882,0.2941176470588235,0.4323529411764706,124
65,PFC.NS,nbfc_financial_services,5,0.5087179487179487,3,0.8461538461538461,0.2666666666666666,0.3076923076923077,0.7333333333333334,0.5507692307692307,73
66,POLYCAB.NS,capital_goods,6,0.5062091503267974,3,0.7058823529411764,0.261437908496732,0.5294117647058824,0.738562091503268,0.7274509803921569,18
67,KPITTECH.NS,it,5,0.506060606060606,3,0.5151515151515151,0.7272727272727273,0.1818181818181817,0.2727272727272727,0.3454545454545454,159
68,BANDHANBNK.NS,banking,7,0.5052631578947369,2,0.2105263157894736,0.8421052631578948,,0.1578947368421052,0.3326023391812865,164
69,ALKEM.NS,pharma_healthcare,7,0.5025000000000001,3,0.6764705882352942,0.32647058823529407,0.4705882352941176,0.6735294117647059,0.5814705882352942,57
70,HINDALCO.NS,metals_mining,6,0.5016666666666667,3,0.5,0.7666666666666667,0.1333333333333333,0.2333333333333333,0.3666666666666666,153
71,BEL.NS,capital_goods,7,0.4970588235294118,3,0.676470588235294,0.05882352941176483,0.8235294117647058,0.9411764705882352,0.8264705882352941,3
72,VEDL.NS,metals_mining,7,0.4933333333333334,3,0.8333333333333334,0.2666666666666667,0.2666666666666667,0.7333333333333333,0.5366666666666666,78
73,LICI.NS,insurance,2,0.49166666666666675,3,0.6666666666666667,0.16666666666666674,0.6666666666666667,0.8333333333333333,0.7166666666666666,20
74,TIMKEN.NS,capital_goods,8,0.4898692810457516,3,0.4117647058823529,0.4248366013071896,0.7058823529411764,0.5751633986928104,0.5078431372549019,88
75,LICHSGFIN.NS,nbfc_financial_services,6,0.48525641025641025,3,0.9230769230769232,0.16666666666666663,0.2307692307692307,0.8333333333333334,0.6346153846153846,38
76,MANAPPURAM.NS,nbfc_financial_services,7,0.4835897435897435,3,0.2307692307692307,0.7333333333333334,0.5384615384615384,0.2666666666666666,0.4569230769230769,112
77,CARBORUNIV.NS,capital_goods,9,0.4820261437908496,3,0.2941176470588235,0.9150326797385621,0.1764705882352941,0.0849673202614379,0.2666666666666667,180
78,HDFCBANK.NS,banking,8,0.4779904306220095,2,0.4210526315789473,0.5430622009569378,,0.4569377990430622,0.4542464114832535,114
79,CANBK.NS,banking,9,0.47719298245614034,2,0.8947368421052632,0.0,,1.0,0.7244152046783625,19
80,GILLETTE.NS,consumer_durables_retail,6,0.476923076923077,3,0.6153846153846154,0.0,0.9230769230769232,1.0,0.776923076923077,7
81,RBLBANK.NS,banking,10,0.4736842105263157,2,0.1052631578947368,0.8947368421052632,,0.1052631578947368,0.3011695906432748,173
82,PVRINOX.NS,telecom_media,2,0.47250000000000003,3,0.5,0.6,0.25,0.4,0.48,104
83,TATACONSUM.NS,fmcg,6,0.4708333333333333,3,0.1666666666666666,0.9166666666666667,0.3333333333333333,0.0833333333333333,0.2916666666666667,176
84,RATNAMANI.NS,metals_mining,8,0.46499999999999997,3,0.1666666666666666,0.5666666666666667,0.8,0.4333333333333333,0.3666666666666667,152
85,LUPIN.NS,pharma_healthcare,8,0.4601470588235294,3,0.8823529411764706,0.138235294117647,0.2352941176470588,0.861764705882353,0.7585294117647059,10
86,GODREJPROP.NS,realty,2,0.45833333333333337,3,0.75,0.33333333333333337,0.1666666666666666,0.6666666666666666,0.6583333333333332,31
87,INDUSTOWER.NS,telecom_media,3,0.4583333333333333,3,0.6,0.2666666666666666,0.5,0.7333333333333334,0.62,44
88,AMBUJACEM.NS,cement,4,0.45625,3,0.5625,0.125,0.75,0.875,0.6062500000000001,50
89,AARTIIND.NS,chemicals,6,0.45454545454545453,3,0.5,0.7272727272727273,0.0,0.2727272727272727,0.4318181818181818,125
90,TATASTEEL.NS,metals_mining,9,0.4533333333333333,3,0.3333333333333333,0.8666666666666667,0.0666666666666666,0.1333333333333333,0.2466666666666667,182
91,AUBANK.NS,banking,11,0.4526315789473685,2,0.1578947368421053,0.7894736842105264,,0.2105263157894736,0.3464912280701754,157
92,AXISBANK.NS,banking,12,0.4502392344497608,2,0.4736842105263158,0.42344497607655507,,0.5765550239234449,0.4910619351408824,99
93,SOBHA.NS,realty,3,0.45,3,0.0833333333333333,0.8333333333333334,0.5,0.1666666666666666,0.3416666666666667,161
94,UNIONBANK.NS,banking,13,0.4476874003189793,2,0.736842105263158,0.11722488038277512,,0.8827751196172249,0.8098086124401914,5
95,APLAPOLLO.NS,metals_mining,10,0.4433333333333333,3,0.0666666666666666,0.6666666666666667,0.7333333333333334,0.3333333333333333,0.32,168
96,JINDALSTEL.NS,metals_mining,10,0.4433333333333333,3,0.2,0.8,0.3333333333333333,0.2,0.32,169
97,BATAINDIA.NS,consumer_durables_retail,7,0.4432692307692308,3,0.5384615384615384,0.5961538461538463,0.0769230769230768,0.4038461538461538,0.3596153846153846,154
98,INDUSINDBK.NS,banking,14,0.4421052631578947,2,0.0,0.9473684210526316,,0.0526315789473684,0.0752923976608187,187
99,HINDUNILVR.NS,fmcg,7,0.4375,3,0.5,0.08333333333333337,0.8333333333333334,0.9166666666666666,0.6583333333333332,30
100,MUTHOOTFIN.NS,nbfc_financial_services,8,0.4360576923076923,3,0.6923076923076923,0.125,0.4615384615384615,0.875,0.7163461538461539,21
101,GODREJCP.NS,fmcg,8,0.43583333333333335,3,0.375,0.8166666666666667,0.0,0.1833333333333333,0.2841666666666667,177
102,DMART.NS,consumer_durables_retail,8,0.4346153846153846,3,0.2307692307692307,0.5384615384615385,0.6153846153846154,0.4615384615384615,0.4692307692307692,109
103,VOLTAS.NS,consumer_durables_retail,9,0.4300480769230769,3,0.0,0.8990384615384616,0.4615384615384615,0.1009615384615384,0.16875,185
104,NTPC.NS,energy_power,4,0.4277777777777778,3,0.6666666666666667,0.2222222222222222,0.3333333333333333,0.7777777777777778,0.6111111111111112,49
105,IRCTC.NS,infra_logistics_defense,5,0.4268181818181819,3,0.5272727272727273,0.045454545454545414,0.8,0.9545454545454546,0.7500000000000001,12
106,MPHASIS.NS,it,6,0.4218434343434343,3,0.5404040404040404,0.5227272727272727,0.0909090909090909,0.4772727272727273,0.4507575757575758,116
107,COFORGE.NS,it,7,0.4217171717171717,3,0.1565656565656565,0.6363636363636365,0.5454545454545454,0.3636363636363636,0.4651515151515151,111
108,ASTRAL.NS,capital_goods,10,0.421078431372549,3,0.3823529411764706,0.5980392156862745,0.2352941176470588,0.4019607843137255,0.4470588235294117,117
109,PIIND.NS,chemicals,7,0.4196969696969697,3,0.409090909090909,0.21212121212121215,0.7272727272727273,0.7878787878787878,0.5227272727272727,83
110,KEI.NS,capital_goods,11,0.418954248366013,3,0.4117647058823529,0.5163398692810458,0.2941176470588235,0.4836601307189542,0.4568627450980392,113
111,BHEL.NS,capital_goods,12,0.41470588235294115,3,0.2941176470588235,0.7647058823529412,0.1176470588235294,0.2352941176470588,0.3823529411764705,144
112,M&M.NS,auto,7,0.41428571428571426,3,0.7857142857142857,0.2857142857142857,0.0,0.7142857142857143,0.5785714285714285,58
113,HDFCLIFE.NS,insurance,3,0.4124999999999999,3,0.1666666666666666,0.75,0.3333333333333333,0.25,0.3583333333333333,155
114,INFY.NS,it,8,0.4113636363636363,3,0.8181818181818181,0.045454545454545414,0.2727272727272727,0.9545454545454546,0.6227272727272727,42
115,SUNPHARMA.NS,pharma_healthcare,9,0.40588235294117647,3,0.4705882352941176,0.11764705882352944,0.7058823529411764,0.8823529411764706,0.6176470588235294,46
116,ABBOTINDIA.NS,pharma_healthcare,10,0.40147058823529413,3,0.5,0.02941176470588236,0.7647058823529411,0.9705882352941176,0.6529411764705882,32
117,SUNDRMFAST.NS,auto,8,0.40099206349206346,3,0.3571428571428571,0.3293650793650793,0.5714285714285714,0.6706349206349207,0.4511904761904762,115
118,UNITDSPR.NS,fmcg,9,0.3958333333333333,3,0.2083333333333333,0.41666666666666663,0.6666666666666667,0.5833333333333334,0.4041666666666667,134
119,THERMAX.NS,capital_goods,13,0.3941176470588235,3,0.1764705882352941,0.8823529411764706,0.0588235294117647,0.1176470588235294,0.1470588235294118,186
120,PHOENIXLTD.NS,realty,4,0.39166666666666666,3,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3833333333333333,143
121,TORNTPOWER.NS,energy_power,5,0.38611111111111107,3,0.2777777777777778,0.38888888888888884,0.5555555555555556,0.6111111111111112,0.4222222222222222,129
122,GRINDWELL.NS,capital_goods,14,0.3852941176470588,3,0.5,0.23529411764705888,0.4117647058823529,0.7647058823529411,0.5558823529411765,69
123,BLUESTARCO.NS,consumer_durables_retail,10,0.3848557692307692,3,0.3846153846153846,0.4951923076923077,0.2307692307692307,0.5048076923076923,0.3437499999999999,160
124,ENDURANCE.NS,auto,9,0.3815476190476191,3,0.3214285714285714,0.41666666666666674,0.4285714285714286,0.5833333333333333,0.5428571428571429,76
125,WELCORP.NS,metals_mining,12,0.38,3,0.2666666666666666,0.4,0.5333333333333333,0.6,0.4733333333333334,108
126,FORTIS.NS,pharma_healthcare,11,0.37852941176470595,3,0.2647058823529412,0.6529411764705884,0.1764705882352941,0.3470588235294117,0.3129411764705883,172
127,CHOLAFIN.NS,nbfc_financial_services,9,0.3772435897435897,3,0.3846153846153846,0.5833333333333333,0.0769230769230768,0.4166666666666667,0.3942307692307692,139
